Date,Open,High,Low,Close,S_3,S_15,S_60,Corr,Std_U,Std_D,OD,OL
2016-07-25,125.529999,126.209999,125.110001,125.470001,126.34666666666665,128.039334,122.90016693333334,0.6986278385974652,0.6799999999999926,0.41999800000000675,-0.9000010000000032,-0.8199989999999957
2016-07-26,126.089996,126.139999,125.75,126.0,126.37333399999999,127.8433338,122.96983359999999,0.5910065260311753,0.050003000000003794,0.3399959999999993,0.5599969999999956,0.619995000000003
2016-07-27,126.790001,128.119995,126.040001,128.029999,125.93999966666665,127.6120004,123.00900023333334,0.7393899766410531,1.329993999999985,0.75,0.7000050000000044,0.7900010000000037
2016-07-28,128.089996,128.199997,127.209999,127.660004,126.49999999999999,127.46533393333334,123.08883358333334,0.13263784537043247,0.1100009999999827,0.8799970000000172,1.2999950000000098,0.05999700000000985
2016-07-29,128.419998,129.410004,127.879997,128.979996,127.230001,127.32666719999999,123.167167,-0.10944918428161594,0.990005999999994,0.5400009999999895,0.33000199999997903,0.7599939999999918
2016-08-01,128.570007,129.339996,128.559998,129.220001,128.223333,127.22399999999999,123.28000028333334,0.11937884314167801,0.7699890000000096,0.010008999999996604,0.15000900000001138,-0.40998899999999594
2016-08-02,130.039993,130.550003,129.940002,130.270004,128.6200003333333,127.21933386666666,123.39916696666667,0.48679312634452254,0.5100099999999941,0.09999100000001704,1.4699860000000058,0.8199920000000134
2016-08-03,129.949997,129.960007,129.270004,129.649994,129.4900003333333,127.427334,123.51733370000001,0.6914284570937721,0.01000999999999408,0.6799929999999961,-0.08999600000001351,-0.3200070000000039
2016-08-04,130.009995,130.279999,129.820007,129.869995,129.71333299999998,127.51599979999999,123.66733356666667,0.7890640206200759,0.27000400000000013,0.1899879999999996,0.05999800000000732,0.3600010000000111
2016-08-05,128.460007,128.550003,127.389999,127.550003,129.92999766666665,127.68533266666667,123.81550010000001,0.8061499745228895,0.08999600000001351,1.0700079999999872,-1.5499880000000132,-1.4099879999999985
2016-08-08,127.290001,127.699997,127.269997,127.440002,129.02333066666665,127.73266646666666,123.9060001,0.6205150844438203,0.4099959999999925,0.020004000000000133,-1.1700059999999866,-0.26000200000000007
2016-08-09,127.940002,128.139999,127.75,127.959999,128.28666666666666,127.7593332,124.01066673333334,0.4635943988072331,0.199996999999982,0.1900020000000069,0.6500010000000032,0.5
2016-08-10,129.119995,129.199997,128.149994,128.559998,127.65000133333331,127.8093332,124.1148334,0.2798584277764215,0.08000200000000746,0.9700009999999963,1.1799929999999819,1.1599959999999925
2016-08-11,128.610001,129.190002,127.480003,127.669998,127.9866663333333,128.02066646666665,124.22749998333333,0.20250619633476022,0.5800009999999816,1.1299980000000147,-0.5099939999999776,0.050003000000003794
2016-08-12,127.669998,129.259995,127.199997,127.400002,128.06333166666664,128.0453328,124.31833326666667,0.06306317643666538,1.5899969999999968,0.47000100000001055,-0.9400030000000044,0.0
2016-08-15,127.620003,128.25,127.599998,127.839996,127.87666599999999,128.11533306666666,124.44,0.22136848985556892,0.629997000000003,0.020004999999997608,-0.04999500000000978,0.22000099999999634
2016-08-16,128.119995,129.039993,128.0,128.470001,127.63666533333333,128.27333273333335,124.57283321666665,0.3191787299713569,0.919998000000021,0.11999499999998875,0.4999919999999918,0.27999899999998945
2016-08-17,128.169998,128.990005,127.459999,128.5,127.90333299999998,128.43799946666667,124.71883325,0.34557839904008913,0.8200070000000039,0.7099989999999963,0.050003000000003794,-0.3000030000000038
2016-08-18,128.889999,129.169998,128.580002,129.110001,128.26999899999998,128.46933286666666,124.87099986666666,0.14096113003781582,0.27999900000000366,0.3099969999999814,0.7200009999999963,0.3899989999999889
